frame_count,timestamp,start_seconds,drone_latitude,drone_longitude,drone_x_m,drone_y_m,rel_alt_m,heading_deg,heading_source,camera_angle_deg,camera_angle_source,ground_distance_m,ground_x_m,ground_y_m,ground_latitude,ground_longitude
1673,2024-06-19 11:16:18.228,55.783,32.106887,35.205194,5.657862456430967,392.1785660646053,117.6,185.82738010651795,trajectory,60.0,fixed,67.8963916567,-1.2357744449750792,324.6330423767134,32.10628022823697,35.205120894968324
1674,2024-06-19 11:16:18.261,55.816,32.106887,35.205194,5.657862456430967,392.1785660646053,117.6,185.82738010651795,trajectory,60.0,fixed,67.8963916567,-1.2357744449750792,324.6330423767134,32.10628022823697,35.205120894968324
1675,2024-06-19 11:16:18.295,55.85,32.106887,35.205194,5.657862456430967,392.1785660646053,117.6,185.82738010651795,trajectory,60.0,fixed,67.8963916567,-1.2357744449750792,324.6330423767134,32.10628022823697,35.205120894968324
1676,2024-06-19 11:16:18.328,55.883,32.106879,35.205194,5.657862456430967,391.2880101382784,117.6,184.63986407722794,trajectory,60.0,fixed,67.8963916567,0.16555881307431353,323.61412595324606,32.10627107515501,35.20513575570348
1677,2024-06-19 11:16:18.361,55.916,32.106879,35.205194,5.657862456430967,391.2880101382784,117.6,184.63986407722794,trajectory,60.0,fixed,67.8963916567,0.16555881307431353,323.61412595324606,32.10627107515501,35.20513575570348
1678,2024-06-19 11:16:18.395,55.95,32.106879,35.205194,5.657862456430967,391.2880101382784,117.6,184.63986407722794,trajectory,60.0,fixed,67.8963916567,0.16555881307431353,323.61412595324606,32.10627107515501,35.20513575570348
1679,2024-06-19 11:16:18.428,55.983,32.106871,35.205194,5.657862456430967,390.3974542119516,117.6,183.46254455747487,trajectory,60.0,fixed,67.8963916567,1.5571902842482626,322.6250078363316,32.10626218975579,35.205150513553974
1680,2024-06-19 11:16:18.461,56.016,32.106871,35.205194,5.657862456430967,390.3974542119516,117.6,183.46254455747487,trajectory,60.0,fixed,67.8963916567,1.5571902842482626,322.6250078363316,32.10626218975579,35.205150513553974
1681,2024-06-19 11:16:18.496,56.05,32.106871,35.205194,5.657862456430967,390.3974542119516,117.6,183.46254455747487,trajectory,60.0,fixed,67.8963916567,1.5571902842482626,322.6250078363316,32.10626218975579,35.205150513553974
1682,2024-06-19 11:16:18.529,56.083,32.106862,35.205194,5.657862456430967,389.39557879509937,117.6,182.59829185071354,trajectory,60.0,fixed,67.8963916567,2.5799013488270366,321.56898994220126,32.10625270338564,35.20516135910994
1683,2024-06-19 11:16:18.562,56.117,32.106862,35.205194,5.657862456430967,389.39557879509937,117.6,182.59829185071354,trajectory,60.0,fixed,67.8963916567,2.5799013488270366,321.56898994220126,32.10625270338564,35.20516135910994
1684,2024-06-19 11:16:18.595,56.15,32.106862,35.205194,5.657862456430967,389.39557879509937,117.6,182.59829185071354,trajectory,60.0,fixed,67.8963916567,2.5799013488270366,321.56898994220126,32.10625270338564,35.20516135910994
1685,2024-06-19 11:16:18.628,56.183,32.106854,35.205194,5.657862456430967,388.5050228680644,117.6,181.44417988562017,trajectory,60.0,fixed,67.8963916567,3.9466679930657698,320.6301982752262,32.106244270076616,35.20517585327611
1686,2024-06-19 11:16:18.662,56.217,32.106854,35.205194,5.657862456430967,388.5050228680644,117.6,181.44417988562017,trajectory,60.0,fixed,67.8963916567,3.9466679930657698,320.6301982752262,32.106244270076616,35.20517585327611
1687,2024-06-19 11:16:18.696,56.25,32.106854,35.205194,5.657862456430967,388.5050228680644,117.6,181.44417988562017,trajectory,60.0,fixed,67.8963916567,3.9466679930657698,320.6301982752262,32.106244270076616,35.20517585327611
1688,2024-06-19 11:16:18.728,56.283,32.106846,35.205195,5.752160164408051,387.61446694173753,117.6,180.28889471247174,trajectory,60.0,fixed,67.8963916567,5.409816878404629,319.71893836234926,32.10623608408954,35.20519136954817
1689,2024-06-19 11:16:18.763,56.317,32.106846,35.205195,5.752160164408051,387.61446694173753,117.6,180.28889471247174,trajectory,60.0,fixed,67.8963916567,5.409816878404629,319.71893836234926,32.10623608408954,35.20519136954817
1690,2024-06-19 11:16:18.800,56.35,32.106846,35.205195,5.752160164408051,387.61446694173753,117.6,180.28889471247174,trajectory,60.0,fixed,67.8963916567,5.409816878404629,319.71893836234926,32.10623608408954,35.20519136954817
1691,2024-06-19 11:16:18.829,56.383,32.106837,35.205196,5.8464578717852955,386.6125915248853,117.6,179.42564381756836,trajectory,60.0,fixed,67.8963916567,6.527067500031203,318.7196112505304,32.10622710698135,35.20520321766887
1692,2024-06-19 11:16:18.862,56.417,32.106837,35.205196,5.8464578717852955,386.6125915248853,117.6,179.42564381756836,trajectory,60.0,fixed,67.8963916567,6.527067500031203,318.7196112505304,32.10622710698135,35.20520321766887
1693,2024-06-19 11:16:18.896,56.45,32.106837,35.205196,5.8464578717852955,386.6125915248853,117.6,179.42564381756836,trajectory,60.0,fixed,67.8963916567,6.527067500031203,318.7196112505304,32.10622710698135,35.20520321766887
1694,2024-06-19 11:16:18.929,56.484,32.106829,35.205196,5.8464578717852955,385.7220355985585,117.6,178.57280339708643,trajectory,60.0,fixed,67.8963916567,7.537533198369617,317.8467067651759,32.10621926554695,35.20521393336625
1695,2024-06-19 11:16:18.962,56.517,32.106829,35.205196,5.8464578717852955,385.7220355985585,117.6,178.57280339708643,trajectory,60.0,fixed,67.8963916567,7.537533198369617,317.8467067651759,32.10621926554695,35.20521393336625
1696,2024-06-19 11:16:18.996,56.55,32.106829,35.205196,5.8464578717852955,385.7220355985585,117.6,178.57280339708643,trajectory,60.0,fixed,67.8963916567,7.537533198369617,317.8467067651759,32.10621926554695,35.20521393336625
1697,2024-06-19 11:16:19.029,56.584,32.10682,35.205197,5.94075557916254,384.72016018170626,117.6,178.0023212821668,trajectory,60.0,fixed,67.8963916567,8.307556394095291,316.86503322800854,32.10621044702352,35.20522209924022
1698,2024-06-19 11:16:19.062,56.617,32.10682,35.205197,5.94075557916254,384.72016018170626,117.6,178.0023212821668,trajectory,60.0,fixed,67.8963916567,8.307556394095291,316.86503322800854,32.10621044702352,35.20522209924022
1699,2024-06-19 11:16:19.096,56.65,32.10682,35.205197,5.94075557916254,384.72016018170626,117.6,178.0023212821668,trajectory,60.0,fixed,67.8963916567,8.307556394095291,316.86503322800854,32.10621044702352,35.20522209924022
1700,2024-06-19 11:16:19.129,56.684,32.106811,35.205198,6.035053287139623,383.71828476414595,117.6,177.16403036974418,trajectory,60.0,fixed,67.8963916567,9.394349417676235,315.905047638144,32.10620182332624,35.205233624366876
1701,2024-06-19 11:16:19.162,56.717,32.106811,35.205198,6.035053287139623,383.71828476414595,117.6,177.16403036974418,trajectory,60.0,fixed,67.8963916567,9.394349417676235,315.905047638144,32.10620182332624,35.205233624366876
1702,2024-06-19 11:16:19.196,56.75,32.106811,35.205198,6.035053287139623,383.71828476414595,117.6,177.16403036974418,trajectory,60.0,fixed,67.8963916567,9.394349417676235,315.905047638144,32.10620182332624,35.205233624366876
1703,2024-06-19 11:16:19.229,56.784,32.106803,35.205198,6.035053287139623,382.8277288378191,117.5,176.88096797405206,trajectory,60.0,fixed,67.83865662978104,9.726188204002998,315.08956488012944,32.10619449771998,35.20523714342152
